year,population
1990,2487098
1992,2577836
1994,2667630
1996,2761908
1998,2850815
2000,2938230
2002,3025740
2004,3102328
2006,3186225
2008,3249855
2010,3310026
2012,3366655
2014,3421721
2016,3473720
2018,3527296
2020,3583018
2022,3639932
